"filename", "language", "Markdown", "Python", "C", "C++", "Makefile", "XML", "JSON", "CMake", "Go Assembly", "Shell Script", "Diff", "YAML", "Properties", "comment", "blank", "total"
"d:\Projects\C\cleonos\.github\workflows\style-check.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 19, 128
"d:\Projects\C\cleonos\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 10, 140
"d:\Projects\C\cleonos\cleonos\c\apps\ansi_main.c", "C", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0
"d:\Projects\C\cleonos\cleonos\c\apps\ansitest_main.c", "C", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 1
"d:\Projects\C\cleonos\cleonos\c\apps\append_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\bmpview_main.c", "C", 0, 0, 331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 412
"d:\Projects\C\cleonos\cleonos\c\apps\cat_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\cd_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\clear_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\cmd_runtime.c", "C", 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5
"d:\Projects\C\cleonos\cleonos\c\apps\cmd_runtime.h", "C++", 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4
"d:\Projects\C\cleonos\cleonos\c\apps\cp_main.c", "C", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
"d:\Projects\C\cleonos\cleonos\c\apps\cut_main.c", "C", 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5
"d:\Projects\C\cleonos\cleonos\c\apps\dmesg_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\doom\doom_compat.c", "C", 0, 0, 1196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 277, 1473
"d:\Projects\C\cleonos\cleonos\c\apps\doom\doom_shim.h", "C++", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 21
"d:\Projects\C\cleonos\cleonos\c\apps\doom\doomgeneric_clks.c", "C", 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 201
"d:\Projects\C\cleonos\cleonos\c\apps\doom_main.c", "C", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 82
"d:\Projects\C\cleonos\cleonos\c\apps\exec_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\exit_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\fastfetch_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\fg_main.c", "C", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"d:\Projects\C\cleonos\cleonos\c\apps\fsstat_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\grep_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\head_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\Projects\C\cleonos\cleonos\c\apps\help_main.c", "C", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 2
"d:\Projects\C\cleonos\cleonos\c\apps\kbdstat_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\kdbg_main.c", "C", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"d:\Projects\C\cleonos\cleonos\c\apps\ls_main.c", "C", 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -12
"d:\Projects\C\cleonos\cleonos\c\apps\memstat_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\mkdir_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\mv_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\pid_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\pwd_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\qrcode\qrcodegen.c", "C", 0, 0, 759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 96, 1031
"d:\Projects\C\cleonos\cleonos\c\apps\qrcode\qrcodegen.h", "C++", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 268, 34, 364
"d:\Projects\C\cleonos\cleonos\c\apps\qrcode_main.c", "C", 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58, 266
"d:\Projects\C\cleonos\cleonos\c\apps\restart_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\rm_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_cmd.c", "C", 0, 0, -35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -39
"d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_external.c", "C", 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10
"d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_input.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_internal.h", "C++", 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6
"d:\Projects\C\cleonos\cleonos\c\apps\shell\shell_path.c", "C", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\C\cleonos\cleonos\c\apps\shell_main.c", "C", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"d:\Projects\C\cleonos\cleonos\c\apps\shstat_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\shutdown_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\sleep_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\sort_main.c", "C", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0
"d:\Projects\C\cleonos\cleonos\c\apps\spawn_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\spin_main.c", "C", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"d:\Projects\C\cleonos\cleonos\c\apps\stats_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\sysstat_main.c", "C", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74
"d:\Projects\C\cleonos\cleonos\c\apps\tail_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\Projects\C\cleonos\cleonos\c\apps\taskstat_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\top_main.c", "C", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"d:\Projects\C\cleonos\cleonos\c\apps\touch_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\tty_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\uniq_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\Projects\C\cleonos\cleonos\c\apps\userstat_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\wait_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\wavplay_main.c", "C", 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8
"d:\Projects\C\cleonos\cleonos\c\apps\wc_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\Projects\C\cleonos\cleonos\c\apps\write_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\apps\yield_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\Projects\C\cleonos\cleonos\c\include\cleonos_syscall.h", "C++", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\Projects\C\cleonos\cleonos\c\src\stdio.c", "C", 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 212
"d:\Projects\C\cleonos\cleonos\c\src\syscall.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\README.md", "Markdown", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 68
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\Makefile", "Makefile", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 55
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\am_map.c", "C", 0, 0, 970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 224, 1356
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\am_map.h", "C++", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 13, 50
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\config.h", "C++", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 34, 101
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_englsh.h", "C++", 0, 0, 0, 522, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 107, 694
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_event.c", "C", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 15, 64
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_event.h", "C++", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 29, 138
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_items.c", "C", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 14, 129
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_items.h", "C++", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 10, 42
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_iwad.c", "C", 0, 0, 509, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 207, 849
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_iwad.h", "C++", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 53
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_loop.c", "C", 0, 0, 464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 194, 827
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_loop.h", "C++", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 25, 82
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_main.c", "C", 0, 0, 1089, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 418, 339, 1846
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_main.h", "C++", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 16, 51
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_mode.c", "C", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 32, 210
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_mode.h", "C++", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 17, 99
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_net.c", "C", 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 63, 282
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_player.h", "C++", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 51, 210
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_textur.h", "C++", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 12, 44
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_think.h", "C++", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 21, 69
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\d_ticcmd.h", "C++", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 14, 57
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\deh_main.h", "C++", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 11, 49
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\deh_misc.h", "C++", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 12, 84
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\deh_str.h", "C++", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 13, 48
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doom.h", "C++", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 12, 43
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomdata.h", "C++", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 51, 214
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomdef.c", "C", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 8, 29
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomdef.h", "C++", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 35, 169
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomfeatures.h", "C++", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 13, 41
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric.c", "C", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 28
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric.h", "C++", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 50
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric.vcxproj", "XML", 0, 0, 0, 0, 0, 339, 0, 0, 0, 0, 0, 0, 0, 0, 0, 339
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric_allegro.c", "C", 0, 0, 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 119, 454
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric_emscripten.c", "C", 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31, 220
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric_linuxvt.c", "C", 0, 0, 412, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 78, 529
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric_sdl.c", "C", 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 29, 211
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric_soso.c", "C", 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54, 277
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric_sosox.c", "C", 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48, 248
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric_win.c", "C", 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37, 210
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomgeneric_xlib.c", "C", 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46, 214
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomkeys.h", "C++", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 14, 98
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomstat.c", "C", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 10, 36
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomstat.h", "C++", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 97, 282
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\doomtype.h", "C++", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 30, 105
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\dstrings.c", "C", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 15, 74
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\dstrings.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 12, 42
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\dummy.c", "C", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 16, 54
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\f_finale.c", "C", 0, 0, 528, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 114, 719
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\f_finale.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 14, 46
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\f_wipe.c", "C", 0, 0, 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 44, 295
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\f_wipe.h", "C++", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 13, 64
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\g_game.c", "C", 0, 0, 1572, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 319, 413, 2304
"d:\Projects\C\cleonos\cleonos\third-party\doomgeneric\doomgeneric\g_game.h", "C++", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 24, 81
